"timestamp","N","dummy","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","total_sentiment","total_posneg","prop_anger","prop_anticipation","prop_disgust","prop_fear","prop_joy","prop_sadness","prop_surprise","prop_trust","prop_negative","prop_positive","total_tariff","total_trade"
2009-12-23 17:00:00,1,1,0,2,0,0,4,0,2,2,0,5,10,5,0,0.2,0,0,0.4,0,0.2,0.2,0,1,0,0
2010-01-12 18:00:00,1,1,1,1,1,0,2,0,1,2,2,2,8,4,0.125,0.125,0.125,0,0.25,0,0.125,0.25,0.5,0.5,0,0
2010-01-15 16:00:00,1,1,0,0,0,0,0,0,1,1,0,1,2,1,0,0,0,0,0,0,0.5,0.5,0,1,0,0
2010-01-21 16:00:00,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-22 20:00:00,1,1,1,1,1,0,1,0,1,1,1,1,6,2,0.166666666666667,0.166666666666667,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0.166666666666667,0.5,0.5,0,0
2010-02-07 16:00:00,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-02-10 15:00:00,1,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0
2010-02-11 19:00:00,1,1,0,0,0,0,1,0,1,1,0,1,3,1,0,0,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,1,0,0
2010-02-26 21:00:00,1,1,0,2,0,0,1,0,1,1,0,2,5,2,0,0.4,0,0,0.2,0,0.2,0.2,0,1,0,0
2010-03-05 14:00:00,1,1,0,2,0,0,2,0,2,1,1,1,7,2,0,0.285714285714286,0,0,0.285714285714286,0,0.285714285714286,0.142857142857143,0.5,0.5,0,0
2010-03-12 20:00:00,1,1,1,1,1,0,1,0,1,2,1,2,7,3,0.142857142857143,0.142857142857143,0.142857142857143,0,0.142857142857143,0,0.142857142857143,0.285714285714286,0.333333333333333,0.666666666666667,0,0
2010-03-15 18:00:00,1,1,1,2,1,0,1,0,1,2,1,1,8,2,0.125,0.25,0.125,0,0.125,0,0.125,0.25,0.5,0.5,0,0
2010-03-17 15:00:00,1,1,0,1,0,0,1,0,0,1,0,2,3,2,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0,1,0,0
2010-03-18 18:00:00,1,1,0,2,0,0,1,0,0,2,0,3,5,3,0,0.4,0,0,0.2,0,0,0.4,0,1,0,0
2010-03-19 14:00:00,1,1,1,2,1,0,2,0,2,2,1,2,10,3,0.1,0.2,0.1,0,0.2,0,0.2,0.2,0.333333333333333,0.666666666666667,0,0
2010-03-23 16:00:00,1,1,0,1,0,0,1,0,2,1,0,2,5,2,0,0.2,0,0,0.2,0,0.4,0.2,0,1,0,0
2010-03-24 17:00:00,1,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0
2010-03-29 19:00:00,1,1,0,0,0,0,0,0,1,1,0,2,2,2,0,0,0,0,0,0,0.5,0.5,0,1,0,0
2010-03-31 13:00:00,1,1,0,1,0,0,0,0,1,1,1,2,3,3,0,0.333333333333333,0,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0,0
2010-04-01 18:00:00,1,1,0,1,0,0,1,0,1,1,0,1,4,1,0,0.25,0,0,0.25,0,0.25,0.25,0,1,0,0
2010-04-06 13:00:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-06 14:00:00,1,1,0,0,0,0,0,0,0,2,0,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0
2010-04-06 18:00:00,1,1,0,2,0,0,2,0,0,1,0,2,5,2,0,0.4,0,0,0.4,0,0,0.2,0,1,0,0
2010-04-07 19:00:00,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2010-04-09 16:00:00,1,1,0,0,0,0,0,1,1,0,0,1,2,1,0,0,0,0,0,0.5,0.5,0,0,1,0,0
2010-04-12 17:00:00,1,1,0,2,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0
2010-04-13 13:00:00,1,1,0,1,0,0,1,0,0,1,0,2,3,2,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0,1,0,0
2010-04-14 20:00:00,1,1,0,2,0,1,2,0,1,3,0,5,9,5,0,0.222222222222222,0,0.111111111111111,0.222222222222222,0,0.111111111111111,0.333333333333333,0,1,0,0
2010-04-16 15:00:00,1,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0
2010-04-20 20:00:00,1,1,0,1,0,0,1,0,0,1,0,1,3,1,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0,1,0,0
2010-04-21 14:00:00,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
2010-04-22 14:00:00,1,1,0,2,0,0,1,0,0,0,0,1,3,1,0,0.666666666666667,0,0,0.333333333333333,0,0,0,0,1,0,0
